st	flaA	pilE	asd	mip	mompS	proA	neuA_neuAH
872	1	10	3	1	1	1	10
873	8	10	3	15	18	12	6
874	6	10	15	10	4	14	1
875	7	6	17	3	50	11	11
876	2	3	6	15	51	1	6
877	1	4	3	16	15	1	9
878	2	10	5	5	35	5	34
879	4	8	11	49	11	12	22
880	6	10	19	3	2	4	11
881	7	7	17	3	13	11	9
882	2	10	3	21	9	14	9
883	21	14	29	2	15	29	6
884	3	27	28	2	15	29	6
885	2	10	9	13	2	10	6
886	1	4	3	1	19	1	1
887	21	16	16	16	15	13	9
888	5	14	22	26	2	10	12
889	2	10	46	47	52	5	6
890	4	6	1	3	14	11	9
891	2	3	18	13	2	5	6
892	2	3	9	10	2	12	6
893	7	10	17	3	13	4	11
894	21	14	43	16	15	26	2
895	1	6	3	3	1	1	11
896	2	10	14	15	18	5	6
897	2	4	9	10	21	1	6
898	6	10	2	3	9	14	11
899	6	10	14	10	39	3	20
900	6	10	14	10	21	14	6
901	2	1	18	15	2	10	6
902	2	1	18	10	2	1	6
903	1	4	3	1	1	38	1
904	1	14	3	1	15	13	9
905	2	3	9	13	56	5	6
906	2	6	17	6	13	14	11
907	3	6	17	13	13	11	1
908	1	4	3	5	1	1	6
909	3	13	1	1	14	9	6
910	2	6	15	28	9	19	9
911	2	3	9	10	60	1	9
912	6	6	21	6	19	4	11
913	5	2	22	27	6	10	9
914	12	8	11	2	11	1	1
915	1	4	3	16	2	1	11
916	4	8	11	25	29	12	2
917	11	14	16	31	15	13	6
918	7	6	17	13	13	11	6
919	7	6	17	13	13	11	13
920	5	1	22	13	6	9	3
921	3	10	1	3	1	9	11
922	4	27	11	16	59	12	26
923	7	6	17	12	13	11	11
924	2	3	9	13	52	1	6
925	4	8	11	2	40	12	4
926	12	8	11	20	40	12	6
927	3	13	1	14	14	9	3
928	6	10	17	3	9	14	9
929	6	10	15	5	13	14	15
930	7	10	17	6	13	11	11
931	7	6	17	15	13	11	11
932	5	1	22	10	6	10	10
933	6	10	3	5	9	4	9
934	6	10	15	28	9	14	2
935	6	10	17	3	9	14	11
936	2	10	9	21	52	5	32
937	2	10	3	3	64	4	9
938	10	22	7	28	65	18	6
939	17	10	3	28	9	4	9
940	31	10	20	10	21	14	11
941	30	18	44	15	61	13	6
942	6	10	14	20	39	14	6
943	30	18	44	10	61	13	10
944	21	14	29	46	15	29	10
945	6	10	3	1	9	39	3
946	2	3	18	15	9	1	6
947	23	10	15	21	30	14	9
948	7	4	17	7	13	11	8
949	2	10	15	28	9	4	11
950	2	10	17	1	1	4	1
951	10	22	7	10	35	18	3
952	1	4	9	1	1	1	1
953	2	10	14	3	9	14	11
954	3	6	1	10	14	11	6
955	2	10	17	3	9	4	11
956	6	10	3	3	9	1	9
957	7	6	17	3	21	11	9
958	2	10	24	28	4	4	9
959	1	4	3	1	9	1	3
960	2	6	3	6	1	4	9
961	2	10	3	28	9	14	11
962	2	10	3	28	9	14	6
963	3	10	1	3	9	9	11
964	4	6	17	6	13	11	11
965	11	4	1	1	15	13	1
966	10	22	3	28	16	18	6
967	2	10	3	3	9	14	3
968	12	9	26	5	50	17	15
969	6	10	15	10	13	14	9
970	3	13	1	1	1	9	1
971	1	14	16	1	15	13	1
972	2	6	17	20	9	14	9
973	2	3	5	15	2	1	6
974	1	4	3	10	1	1	11
975	6	10	19	28	21	4	11
976	7	6	17	10	13	11	11
977	23	10	3	28	8	4	9
978	8	10	3	15	18	1	9
979	10	22	7	3	16	18	6
980	6	10	17	28	9	14	3
981	2	10	19	28	19	4	11
982	6	10	17	3	21	14	3
983	2	6	17	3	12	11	11
984	12	29	2	20	50	20	15
985	2	6	17	8	14	11	11
986	1	14	16	16	15	13	2
987	3	1	1	1	14	9	9
988	6	3	18	15	9	1	6
989	4	15	11	5	30	12	6
990	2	10	17	3	9	4	1
991	2	10	17	3	1	4	1
992	3	6	1	28	14	11	13
993	10	22	7	28	16	18	13
994	6	10	15	5	21	14	15
995	2	3	9	10	2	6	6
996	7	7	17	28	13	11	13
997	2	10	3	28	9	14	13
998	7	6	3	8	13	11	13
999	6	10	15	10	21	40	3
1000	4	8	11	30	5	26	6
1001	12	9	26	28	3	17	15
1002	6	10	15	28	19	4	6
1003	17	6	7	13	21	18	9
1004	6	10	15	3	19	14	11
1005	10	22	7	28	16	18	11
1006	10	10	7	28	16	18	13
1007	2	10	46	47	35	5	6
1008	1	4	3	1	1	41	1
1009	3	13	1	17	14	9	9
1010	12	10	3	10	18	1	6
1011	1	4	3	1	1	4	6
1012	2	3	9	10	63	1	6
1013	6	10	15	10	21	40	9
1014	17	10	15	12	9	14	11
1015	4	8	11	23	40	12	37
1016	6	10	15	15	21	14	6
1017	3	10	1	28	1	9	1
1018	2	10	5	50	35	1	9
1019	3	4	3	1	1	1	1
1020	2	4	3	1	9	4	9
1021	31	10	20	10	21	4	11
1022	2	6	3	28	9	4	13
1023	21	27	28	12	15	29	6
1024	6	10	19	28	19	14	9
1025	6	10	19	14	4	4	11
1026	6	10	19	14	19	4	11
1027	6	10	17	28	21	7	11
1028	3	6	1	28	9	4	3
1029	6	10	15	28	19	14	11
1030	1	12	3	1	1	1	1
1031	32	6	17	3	13	11	11
1032	3	13	1	6	14	9	38
1033	6	42	15	28	19	4	3
1034	6	11	15	5	2	14	6
1035	2	3	18	10	2	1	1
1036	1	4	3	19	1	1	3
1037	6	10	14	28	21	4	9
1038	1	6	3	10	1	5	11
1039	6	10	15	13	21	14	6
1040	1	4	3	37	1	1	2
1041	10	10	7	28	65	18	6
1042	2	3	11	10	2	1	6
1043	6	10	21	3	9	14	11
1044	7	6	17	3	9	11	11
1045	4	10	11	10	11	12	28
1046	1	4	3	37	1	1	11
1047	6	10	20	6	13	14	13
1048	6	10	17	3	4	14	11
1049	12	8	11	2	11	12	4
1050	6	10	19	28	68	4	3
1051	6	16	49	28	4	4	9
1052	2	10	15	28	21	3	2
1053	6	16	14	28	4	14	3
1054	32	12	50	6	48	11	9
1055	6	16	15	28	4	4	3
1056	2	10	14	28	21	14	13
1057	6	10	15	28	9	4	3
1058	32	10	15	14	21	7	6
1059	8	6	34	9	53	8	6
1060	2	10	14	28	4	14	13
1061	32	10	15	14	19	7	34
1062	6	10	19	3	69	4	11
1063	3	10	1	28	14	9	2
1064	12	8	11	53	40	12	4
1065	11	14	16	25	7	13	1
1454	7	6	17	28	21	11	13
1457	2	10	3	13	9	4	206
1460	7	46	17	21	13	11	9
1066	7	10	17	17	13	11	3
1067	6	6	19	25	19	4	7
1068	1	10	2	18	9	14	11
1069	3	10	1	3	35	9	11
1072	2	6	3	1	13	14	11
1073	2	10	17	6	9	4	3
1074	7	10	14	15	21	4	6
1075	8	3	3	15	18	1	6
1076	6	10	2	3	9	4	9
1077	3	6	1	1	14	11	1
1078	7	6	17	20	13	11	6
1079	5	1	22	30	6	10	15
1080	6	6	19	28	19	4	13
1081	17	6	2	28	9	14	11
1082	12	15	11	5	11	12	15
1083	2	10	3	15	9	4	20
1084	6	10	15	14	21	40	9
1085	2	10	5	5	18	5	6
1086	5	2	22	10	6	25	6
1087	7	6	17	28	13	11	11
1088	12	8	11	20	40	12	9
1089	3	4	1	12	14	11	11
1090	2	10	3	15	2	1	20
1091	7	10	17	13	14	11	11
1092	7	4	31	10	48	15	11
1093	6	10	15	14	21	7	6
1094	6	10	20	10	9	4	9
1095	6	10	15	28	21	14	11
1096	21	27	28	3	15	11	11
1097	6	10	20	28	9	4	9
1098	23	10	3	3	8	4	9
1099	7	6	17	6	13	11	9
1100	6	10	15	3	17	14	9
1101	6	6	15	3	9	14	11
1102	3	6	1	28	14	9	11
1103	7	10	17	13	21	11	11
1104	3	13	1	28	14	9	13
1105	1	10	3	3	9	4	3
1106	6	10	15	12	17	14	9
1107	8	10	3	15	18	1	8
1108	28	17	33	19	31	1	1
1109	2	10	15	10	4	4	3
1110	3	1	1	28	14	9	3
1111	1	14	3	1	1	1	1
1112	2	3	5	13	2	1	10
1113	1	4	3	28	1	1	1
1114	7	6	17	3	19	14	11
1115	8	4	17	1	11	31	13
1116	6	10	15	19	28	4	11
1117	6	10	14	28	63	14	9
1118	11	14	16	25	7	13	13
1119	2	10	14	10	21	4	3
1120	2	6	17	1	13	3	1
1121	6	6	15	28	13	14	11
1122	6	10	19	6	19	4	13
1123	17	23	13	11	18	22	15
1124	28	4	3	1	1	1	1
1125	11	4	16	1	15	13	1
1126	11	14	16	12	15	13	1
1127	11	14	16	25	15	13	2
1128	2	14	16	12	15	13	3
1129	2	4	14	28	21	14	9
1130	1	4	3	16	2	1	3
1131	8	6	34	9	2	8	2
1132	3	4	1	54	14	9	7
1133	3	4	1	54	14	9	1
1134	6	10	17	6	13	11	11
1135	10	22	7	3	35	18	6
1136	6	10	23	28	18	14	6
1137	7	43	31	3	48	15	11
1138	6	13	19	6	19	4	11
1139	2	10	23	10	18	14	6
1140	8	10	3	15	1	1	6
1141	12	17	11	10	5	12	10
1142	1	4	3	1	18	1	6
1143	12	8	11	16	11	12	4
1144	2	10	15	12	9	14	11
1145	6	10	17	28	21	4	11
1146	6	10	15	28	9	14	11
1147	5	1	22	55	6	10	36
1148	10	22	7	3	16	18	11
1149	4	8	11	2	11	12	2
1150	8	10	13	2	32	22	6
1151	7	43	31	3	48	15	40
1152	7	6	17	3	13	11	40
1153	2	10	3	28	13	14	3
1154	33	4	3	1	1	1	1
1155	4	8	11	25	29	12	6
1156	6	10	15	3	21	7	9
1157	1	6	3	1	1	1	11
1158	2	14	16	30	15	13	9
1159	3	13	52	10	14	9	11
1160	1	4	3	1	70	1	1
1161	3	1	1	28	1	9	1
1162	2	6	1	6	9	4	11
1163	12	8	11	5	20	5	5
1164	2	10	3	28	9	14	17
1165	2	10	9	12	2	6	6
1166	2	3	9	10	2	1	9
755	6	10	19	13	22	14	1
1167	6	10	19	13	21	14	1
1168	2	3	5	28	2	1	3
1169	7	6	17	3	9	11	6
1170	6	10	15	3	9	4	13
1171	1	10	2	28	9	14	11
1172	6	10	21	12	21	43	11
1173	21	27	28	5	15	29	15
1174	2	10	54	3	9	11	13
1175	3	6	17	3	48	11	1
1176	2	6	17	11	48	8	1
1177	1	4	3	1	2	1	1
1178	28	17	33	19	31	1	2
1179	1	4	3	16	2	1	2
1180	1	4	3	16	2	1	1
1181	3	13	1	3	14	3	6
1182	1	14	16	25	7	13	24
1183	1	14	16	19	15	13	1
1184	2	3	9	10	2	9	6
1185	3	14	16	16	15	13	2
1186	2	3	5	3	2	1	9
1187	2	3	5	13	2	1	6
1188	2	3	5	28	2	1	6
1189	2	3	5	58	2	1	6
1190	2	3	18	12	35	1	6
1191	2	3	58	10	2	1	6
1192	2	10	5	10	2	1	6
1193	2	10	5	10	2	1	9
1194	2	10	5	47	18	5	9
1195	2	10	9	12	2	5	6
1196	2	10	14	3	18	4	11
1197	2	10	57	10	18	5	9
1198	2	23	13	25	18	22	9
1199	2	31	5	21	18	12	6
1200	4	8	11	10	11	12	10
1201	12	8	11	56	2	12	34
1202	12	15	11	56	11	12	34
1203	21	14	29	1	15	29	6
1204	34	27	56	57	72	29	44
1205	2	3	18	10	2	1	10
1206	1	7	11	3	11	1	9
1207	35	10	5	50	2	1	6
1208	2	10	1	28	21	14	3
1209	6	10	15	47	9	14	11
1210	8	19	5	12	18	5	6
1211	2	3	9	30	2	1	6
1212	2	10	17	14	21	14	11
1213	2	6	17	28	9	4	3
1214	3	13	1	3	14	9	1
1215	2	6	48	6	48	5	10
1216	11	14	16	16	15	42	2
1217	6	10	19	1	19	4	11
1218	2	3	6	3	18	1	9
1219	30	14	16	54	7	13	41
1220	2	10	3	6	9	11	13
1221	5	1	22	10	6	10	15
1222	3	14	16	25	7	13	24
1224	6	10	15	13	73	14	6
1225	34	27	55	54	71	44	44
1226	7	10	17	28	13	11	3
1227	11	14	16	19	15	13	3
1228	8	6	34	9	2	8	3
1229	9	10	17	6	13	11	3
1230	7	6	17	6	13	11	40
1231	3	1	22	26	6	10	12
1232	4	7	11	28	11	12	13
1233	10	22	7	6	16	18	40
1234	1	6	17	28	13	11	3
1235	2	3	53	15	2	1	6
1236	6	10	15	10	21	40	6
1237	11	14	16	10	15	13	6
1238	2	6	17	23	1	11	45
1239	26	1	18	60	2	10	6
1240	1	10	3	1	9	1	1
1241	12	7	11	3	11	12	9
1242	8	10	5	10	2	1	6
1243	21	14	29	5	15	29	2
1244	3	7	1	3	14	9	9
1245	4	7	11	3	11	12	15
1246	6	6	15	1	9	14	11
1247	2	23	13	3	18	22	9
1248	2	15	9	10	2	1	6
1249	3	10	1	15	14	9	9
1250	3	12	1	6	1	9	11
1251	6	10	15	13	21	7	6
1252	7	6	3	14	14	11	11
1253	3	4	1	28	35	9	11
1254	7	6	17	3	22	11	11
1255	2	10	3	3	4	11	11
1256	6	10	2	3	13	4	6
1257	4	7	11	3	11	12	13
1258	3	13	1	5	14	9	15
1259	2	8	5	10	2	1	9
1260	2	10	15	28	9	4	3
1261	2	10	17	1	9	4	1
1262	1	4	3	37	1	1	40
1263	2	6	48	6	1	1	40
1264	6	35	19	10	4	43	9
1265	32	12	50	6	48	11	13
1266	12	15	11	56	29	12	34
1267	2	6	48	6	48	5	40
1268	2	9	2	5	3	17	15
1269	2	10	1	28	21	4	13
1270	7	10	1	28	9	14	3
1271	2	10	22	28	9	4	13
1272	2	4	3	1	9	4	1
1273	7	6	17	10	13	11	6
1274	2	6	1	6	9	14	11
1275	12	6	17	2	53	11	11
1276	2	10	21	28	9	4	3
1277	1	4	3	25	1	1	1
1278	3	6	1	1	14	9	7
1279	7	6	17	3	2	11	11
1280	3	6	21	28	12	8	11
1281	1	4	3	25	1	1	10
1455	3	5	1	7	14	9	50
1458	10	14	16	16	15	13	2
1283	2	3	18	40	2	1	2
1284	21	10	29	15	15	29	6
1285	3	10	1	3	1	4	11
1286	12	4	11	10	5	12	6
1287	2	3	60	12	35	1	9
1288	7	6	17	28	13	11	207
1461	2	3	9	10	50	1	6
1463	6	10	15	28	4	4	9
1465	2	43	15	18	19	4	11
1467	8	6	34	9	2	8	9
1469	2	6	17	3	9	11	11
1471	6	14	16	16	15	13	2
1289	6	6	17	28	4	14	6
1290	2	14	16	10	15	13	11
1291	2	10	19	10	19	4	6
1292	2	10	11	10	2	1	6
1293	6	10	19	6	19	4	11
1294	6	10	14	3	2	10	9
1295	6	3	9	10	2	1	6
1296	7	6	17	21	13	11	15
1297	2	10	3	28	77	4	3
1298	10	22	7	3	16	18	1
1299	8	6	3	64	22	8	11
1473	11	14	16	28	15	13	3
1282	12	9	2	5	3	17	2
1300	11	14	16	18	15	13	201
1301	2	11	3	28	9	4	207
1475	6	6	15	3	9	14	2
1302	2	10	4	28	4	4	207
1303	2	3	9	10	2	1	15
1304	2	10	9	3	2	5	9
1305	1	10	18	10	2	1	6
1306	12	6	1	14	14	9	1
1307	12	9	1	5	3	17	15
1308	2	10	15	3	9	14	9
1309	2	15	22	10	2	1	6
1310	6	10	19	3	19	1	9
1311	8	6	17	3	13	11	11
1312	6	10	19	3	2	4	9
1313	6	10	3	3	9	4	9
1314	6	4	15	28	1	1	26
1315	5	6	1	3	14	9	11
1316	3	4	1	28	14	9	11
1317	16	21	12	19	31	21	215
1318	6	10	5	10	9	1	209
1223	1	4	3	5	1	1	213
1319	2	6	17	14	12	8	211
1320	8	1	22	30	6	10	203
1321	13	11	4	9	23	16	214
1322	6	10	22	3	21	3	207
1323	6	10	3	28	9	4	207
1324	5	1	22	30	6	10	203
1325	7	6	3	20	13	11	205
1326	3	10	1	28	14	9	207
1327	11	14	16	31	15	13	210
1328	20	26	27	34	46	27	212
1329	1	4	3	5	50	1	213
1330	2	6	17	28	13	31	207
1331	6	10	14	10	33	1	209
1332	12	8	11	20	40	12	216
1333	2	10	3	28	9	14	207
1334	11	14	16	25	7	13	206
1335	14	18	8	18	28	19	201
1336	6	35	38	42	1	14	207
1337	2	10	3	3	9	14	207
1338	6	10	15	6	17	14	11
1339	3	10	1	28	50	9	3
1340	6	10	19	3	2	4	3
1341	3	13	1	3	14	9	207
1342	2	6	17	6	13	1	11
1343	6	10	21	28	4	14	207
1344	6	10	19	10	19	4	3
1345	17	10	3	1	9	4	3
1346	7	6	17	3	14	11	6
1347	12	1	2	5	3	17	15
1348	6	10	15	5	19	1	11
1349	2	10	17	28	9	4	207
1350	10	22	7	28	16	18	207
1351	6	10	14	28	21	14	207
1352	3	4	1	3	1	9	11
1353	4	8	11	25	29	12	9
1354	2	10	24	28	4	4	207
1355	12	9	26	5	26	17	5
1356	6	10	15	3	21	4	207
1357	2	10	3	16	9	4	208
1358	5	2	22	10	6	25	203
1359	2	10	3	13	9	4	202
1360	22	4	3	36	1	30	204
1361	3	13	1	1	14	9	207
1362	2	10	3	28	9	4	207
1363	17	23	13	63	32	22	46
1364	8	19	5	15	18	5	6
1365	1	4	3	28	1	1	207
1366	7	10	17	28	9	4	13
1367	3	10	15	28	17	14	207
1368	6	29	22	28	21	14	207
1369	8	14	16	25	7	13	206
1370	6	10	17	20	4	14	207
1371	4	8	11	3	8	12	11
1372	2	1	9	10	2	1	6
1373	5	2	3	10	6	25	203
1374	4	3	18	10	5	1	218
1375	3	10	3	28	9	4	9
1376	1	4	3	16	2	1	208
1377	2	14	16	25	7	13	206
1378	2	6	17	28	4	11	207
1379	6	10	14	10	21	4	207
1380	12	10	26	5	3	17	213
1381	6	10	15	28	9	14	207
1382	7	6	3	8	13	11	205
1383	3	24	1	29	34	23	219
1384	2	24	20	29	34	23	219
1477	17	10	17	3	2	14	2
1385	16	21	33	19	41	1	1
1386	6	10	5	12	33	4	6
1387	6	10	21	28	9	4	13
1456	6	10	2	10	9	4	7
1388	12	8	11	5	5	12	15
1389	4	7	11	3	11	9	9
1390	2	10	15	28	4	3	207
1391	22	4	3	8	1	15	204
1392	3	13	1	28	14	9	207
1393	21	10	14	10	21	4	20
1394	2	10	14	10	21	4	20
1395	14	18	8	10	28	19	2
1396	5	10	22	30	6	10	1
1397	6	10	15	27	9	14	11
1398	2	10	19	13	21	14	11
1399	2	10	19	10	21	14	6
1400	11	14	16	1	15	13	207
1401	2	6	3	1	17	4	9
1402	21	27	28	13	15	29	6
1403	5	1	22	16	6	10	26
1404	6	10	15	28	13	14	3
1405	6	10	19	3	19	4	207
1406	2	10	3	66	9	4	6
1407	1	4	61	1	1	1	6
1408	6	10	15	28	21	40	207
1409	6	10	19	28	19	4	207
1410	6	10	15	28	19	14	207
1411	6	10	17	3	4	14	207
1412	6	10	14	28	2	14	9
1413	8	6	34	9	53	8	209
1414	2	10	3	8	9	4	3
1415	2	10	3	10	9	4	207
1416	2	10	2	10	19	4	3
1417	8	6	34	9	2	8	209
1418	6	10	14	28	4	3	207
1419	6	10	5	28	18	14	7
1420	2	10	18	15	1	1	6
1421	1	4	3	4	1	1	2
1422	1	4	3	19	1	1	215
1423	17	23	13	6	32	22	205
1424	23	12	31	6	48	31	220
1425	3	4	1	28	14	9	207
1426	6	10	23	10	18	14	207
1427	3	12	1	6	14	9	220
1428	6	10	19	21	19	4	9
1429	6	10	20	13	9	14	9
1430	6	10	17	28	21	14	9
1431	7	8	8	2	4	2	1
1432	3	10	19	28	19	4	9
1433	11	14	16	1	15	13	11
1434	12	15	11	18	11	12	201
1435	12	23	13	54	32	45	47
1436	6	10	19	67	19	4	48
1437	2	10	3	28	79	4	13
1438	7	10	3	28	9	14	3
1439	6	10	15	28	21	7	207
1440	6	10	15	10	21	40	207
1441	6	10	5	10	33	1	209
1442	2	11	3	28	9	4	13
1443	2	10	3	21	9	4	9
1444	12	7	11	13	18	12	9
1445	6	6	15	14	4	14	221
1446	7	43	31	3	48	15	1
1447	6	10	20	13	9	4	11
1448	2	3	6	10	51	1	9
1449	2	3	6	3	51	1	6
1450	3	10	19	14	4	4	3
1451	1	4	3	1	1	1	49
1452	7	6	17	15	13	9	11
1453	2	10	17	28	13	4	13
1459	6	10	19	28	19	4	7
1462	17	10	15	28	21	4	2
1464	2	10	15	28	19	4	3
1466	2	6	14	28	21	8	3
1468	8	6	7	9	2	8	209
1470	10	22	34	28	16	18	6
1472	2	14	16	31	15	13	210
1474	11	14	16	7	15	13	3
1476	6	10	17	3	2	14	2
1478	17	10	15	28	21	4	207
1479	1	10	18	10	6	1	6
1480	3	13	1	14	14	9	6
1481	3	10	1	15	14	4	6
1482	7	10	3	28	9	4	207
1483	3	13	1	12	14	9	9
1484	3	3	1	10	5	9	9
1485	7	10	17	3	2	14	9
1486	7	6	3	28	13	11	3
1487	7	6	17	6	17	11	9
1488	17	10	2	28	9	14	13
1489	2	10	3	3	9	11	11
1490	2	10	21	28	2	14	9
1491	6	10	19	21	19	4	3
1492	2	10	24	3	50	4	6
1493	2	12	5	11	2	1	6
1494	2	10	3	3	8	4	9
1495	6	10	15	21	17	14	11
1496	3	6	1	14	8	11	11
1497	6	10	15	3	4	14	9
1498	4	8	11	5	40	12	2
1499	6	10	19	12	19	18	6
1500	2	14	29	15	15	29	6
1501	7	3	16	16	15	13	2
1502	2	10	57	28	18	5	1
1503	6	10	15	13	17	13	11
1504	3	6	1	1	11	9	12
1505	1	4	3	1	1	11	1
1506	6	10	22	13	17	14	11
1507	5	4	22	26	6	10	12
1508	2	10	48	28	9	14	3
1509	4	16	11	25	10	12	7
1510	2	6	3	6	9	4	11
1511	2	23	17	3	11	4	2
1512	2	3	9	10	2	13	6
1513	11	14	16	16	15	1	11
1514	21	14	29	21	15	1	15
1515	2	10	22	13	2	5	6
1516	6	10	15	28	4	14	207
1517	1	4	3	5	1	1	201
1518	3	13	1	21	14	9	15
1519	3	4	1	1	2	9	11
1520	21	14	29	35	15	29	206
1521	21	14	28	15	15	29	9
1522	5	1	22	30	6	10	9
1523	5	2	22	10	6	25	13
1524	6	10	15	28	62	14	207
1525	2	3	18	10	2	1	13
1526	12	8	11	10	10	12	2
1527	7	10	3	28	9	4	13
1528	6	10	17	28	17	14	9
1529	12	8	11	10	24	12	6
1530	17	10	15	28	17	3	11
1531	10	22	7	6	14	18	220
1532	12	8	11	2	8	12	9
1533	12	8	11	30	40	12	203
1534	3	10	1	1	1	9	11
1535	6	10	3	28	9	14	207
1536	1	4	3	14	1	1	11
1537	1	6	17	8	13	11	207
1538	2	10	3	1	9	4	6
1539	24	17	62	67	80	9	7
1540	2	10	15	10	9	4	6
1541	21	27	28	54	15	29	206
1542	6	41	22	55	55	10	31
1543	2	10	5	47	18	14	6
1544	6	10	19	12	19	4	6
1545	3	10	1	6	9	9	9
1546	7	10	17	3	13	11	9
1547	6	10	15	28	21	14	207
1548	2	6	17	3	13	11	11
1549	2	6	3	1	9	4	9
1550	7	10	17	3	50	11	9
1551	2	10	17	28	30	14	6
1552	22	10	3	1	1	1	10
1553	3	17	1	5	81	9	51
1554	6	10	15	10	13	14	6
1555	16	21	12	19	82	21	215
1556	7	10	1	28	13	11	3
1557	31	10	20	12	21	4	3
1558	6	10	20	12	1	4	1
1559	3	4	1	1	1	19	1
1560	2	6	34	9	12	8	1
1561	1	14	16	31	15	13	1
1562	1	14	16	16	15	13	9
1563	8	14	16	16	15	13	2
1564	6	10	15	3	21	7	6
1565	3	10	1	7	14	9	6
1566	6	10	15	1	4	7	10
1567	17	23	13	10	18	20	223
1568	3	6	1	6	14	9	13
1569	12	9	26	21	3	17	15
1570	21	10	28	28	15	29	6
1571	15	19	5	15	18	5	6
1572	2	10	3	15	9	11	6
1573	3	10	2	3	1	1	1
1574	2	3	9	10	18	1	6
1575	4	3	18	10	5	1	6
1576	4	7	11	3	59	12	9
1578	2	10	18	28	2	1	9
1579	3	4	15	1	14	9	11
1580	4	7	11	3	11	12	11
1581	6	10	2	28	9	14	9
1582	6	10	14	12	21	4	6
1583	8	10	3	10	14	1	6
1584	5	2	22	5	6	25	15
1585	6	10	19	28	78	1	207
1586	2	10	3	12	9	4	11
1587	21	27	29	54	15	47	9
1588	21	14	29	35	15	29	9
1589	3	27	29	54	15	47	8
1590	21	14	28	35	15	29	206
1591	6	10	15	28	17	14	11
1592	1	4	1	28	14	9	3
1577	2	18	18	15	2	1	6
1593	12	17	11	12	5	12	20
1594	2	10	19	28	21	14	11
1595	12	9	2	5	3	17	9
1596	3	7	1	28	14	9	3
1597	5	4	22	5	6	10	15
1598	3	6	1	6	42	11	34
1599	2	10	2	6	9	4	11
1600	2	10	22	1	9	4	1
1601	2	19	5	10	18	1	9
1602	2	10	1	28	9	4	3
1603	6	10	10	15	21	40	6
1604	1	4	3	10	1	1	209
1605	12	7	3	3	9	4	9
1607	7	6	3	3	13	9	11
1608	6	10	2	10	9	4	9
1609	2	10	3	28	21	4	3
1610	7	6	17	14	13	11	11
1611	2	6	17	6	1	14	11
1612	23	6	17	6	12	14	11
1613	2	6	17	6	12	14	11
1614	7	43	31	3	48	11	11
1615	7	6	17	3	21	11	11
1616	7	6	17	6	8	11	9
1617	7	43	31	6	1	15	11
1618	2	4	17	1	83	14	11
1619	7	6	17	3	84	11	11
1620	7	10	17	6	13	11	207
1621	2	3	9	11	2	1	6
1622	3	6	17	6	13	11	11
1623	2	6	17	1	12	14	11
1624	2	10	3	6	9	4	38
1625	3	26	27	34	46	27	212
1626	7	6	17	6	13	11	38
1627	7	6	17	6	13	9	11
1628	2	6	3	6	9	14	220
1629	12	8	11	18	8	12	201
1630	10	10	7	6	16	18	11
1631	2	12	3	6	9	14	220
1632	3	6	1	6	14	9	220
1633	2	10	19	28	19	4	6
1634	2	6	1	10	14	9	6
1635	3	4	1	1	14	11	30
1636	7	10	1	28	9	4	3
1637	1	10	3	30	1	1	213
1638	2	3	6	10	51	1	218
1639	1	14	16	25	7	13	206
1640	1	14	16	25	7	13	1
1641	7	10	3	28	9	4	3
1642	3	6	1	28	14	9	3
1643	1	4	14	10	9	3	6
1644	2	12	3	6	9	14	224
1645	5	2	22	10	6	10	10
1646	2	10	14	10	21	4	11
1647	6	10	15	13	4	14	1
1648	1	10	17	28	9	14	11
1649	7	6	17	3	13	9	207
1650	17	10	15	28	4	3	207
1651	2	10	15	16	21	14	11
1652	1	10	17	10	2	14	11
1653	2	10	15	16	21	14	1
1654	16	21	33	37	31	1	1
1655	6	4	3	3	9	4	9
1656	1	4	3	1	53	1	1
1657	1	4	3	37	1	1	1
1658	7	6	17	3	4	11	9
1659	12	9	2	5	19	17	15
1660	7	6	17	28	14	11	3
1661	6	10	19	28	9	14	1
1662	1	4	3	16	2	1	9
1663	6	10	19	8	9	4	1
1664	2	10	17	3	2	14	1
1665	6	10	19	3	19	4	1
1666	6	10	19	10	19	4	1
1667	6	10	9	66	9	4	9
1668	6	10	19	13	9	4	1
1669	6	10	19	28	9	7	1
1670	6	10	15	28	21	14	3
1671	6	10	14	28	21	3	1
1672	6	10	15	3	4	14	6
1673	6	10	14	28	21	3	9
1674	2	10	15	16	21	14	9
1675	6	10	15	10	4	4	3
1676	6	10	17	10	2	14	11
1677	6	10	19	66	9	4	9
1678	6	10	15	3	9	14	9
1679	2	10	3	13	9	4	9
1681	1	4	1	10	14	1	6
1682	2	10	15	8	9	4	207
1683	2	4	3	1	1	1	9
1684	12	8	18	5	5	12	15
1685	6	10	15	28	4	14	6
1686	6	10	15	10	21	3	6
1687	4	10	11	10	42	12	10
1688	2	47	3	3	9	4	3
1689	2	10	15	28	17	14	11
1690	22	4	3	1	1	9	1
1691	3	4	1	6	14	11	9
1693	3	6	1	14	8	8	9
1694	12	8	11	21	40	12	9
1695	10	22	7	28	85	18	6
1696	6	10	17	3	9	14	3
1697	5	10	22	24	6	10	6
1698	6	10	15	3	9	14	11
1699	6	10	15	28	21	7	11
1700	6	10	14	48	18	14	6
1702	2	3	5	47	18	5	6
1703	2	3	5	28	33	7	6
1704	6	10	15	28	21	40	11
1705	7	6	17	6	13	4	11
